Data Source,World Development Indicators,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Equatorial Guinea,GNQ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
Greece,GRC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Grenada,GRD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
Greenland,GRL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417,
Guatemala,GTM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.654815,7.599937083,7.34793875,7.519164583,7.696698333,7.72165,7.734388333,7.74824375,7.831974167,7.7585375,
Guam,GUM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,
Guyana,GUY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,206.5,206.5,206.5,207.7166667,208.5,208.5,208.5,208.5,208.5,208.5,
High income,HIC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.75175,7.76225,7.79325,7.8385,7.835916667,7.75725,7.77325,7.831416667,7.829583333,7.803833333,
Honduras,HND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,21.945175,22.83501839,23.48708394,23.90272829,24.50853891,24.58188052,24.01665532,24.48587373,24.60164682,24.79928244,
Heavily indebted poor countries (HIPC),HPC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Croatia,HRV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.85830375,6.805990167,6.623831,6.27902525,6.622545167,6.6140555,6.360083167,7.1597415,0.924839558,0.923889546,
Haiti,HTI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.70642667,63.33581837,64.76968028,68.03175398,88.81496618,93.50980721,89.22663651,115.6307155,141.0359127,131.8109917,
Hungary,HUN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,279.3325,281.5233333,274.4333333,270.2116667,290.66,307.9966667,303.1408333,372.5958333,353.0883333,365.6908333,
IBRD only,IBD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
IDA & IBRD total,IBT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
IDA total,IDA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
IDA blend,IDB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Indonesia,IDN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439,14849.85394,15236.88466,15855.44829,
IDA only,IDX,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Isle of Man,IMN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
India,IND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.59927645,83.66928158,
Not classified,INX,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Ireland,IRL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
"Iran, Islamic Rep.",IRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,29011.49138,30914.85244,33226.29815,40864.32901,42000,42000,42000,42000,42000,,
Iraq,IRQ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1167.333333,1182,1184,1182.75,1182,1192,1450,1450,1312.5,1300,
Iceland,ISL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,131.9187084,120.8115481,106.839572,108.3001763,122.6067736,135.4217116,126.9888602,135.279902,137.9429524,137.958026,
Israel,ISR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.886833333,3.840566667,3.599555548,3.590558127,3.564527347,3.442405852,3.230198323,3.359614402,3.667374716,3.69971965,
Italy,ITA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Jamaica,JAM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,116.9697766,125.0950346,127.9645442,128.8715191,133.3121183,142.4028328,150.7901059,153.4268165,154.158779,156.4395401,
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,
Japan,JPN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,121.0440257,108.7929,112.1661411,110.4231793,109.0096659,106.7745823,109.7543238,131.4981404,140.4911001,151.3662913,
Kazakhstan,KAZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,221.7283333,342.16,326.0010227,344.7058333,382.7473106,412.9533333,425.9075,460.165,456.165,468.9625,
Kenya,KEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,98.17845333,101.5043695,103.4100045,101.301574,101.9912984,106.4507802,109.6377466,117.8659892,139.8463838,134.8224833,
Kyrgyz Republic,KGZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,64.46210827,69.91406583,68.86666786,68.84032033,69.78934918,77.3461127,84.64082201,84.11622257,87.85612559,87.15031264,
Cambodia,KHM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4067.75,4058.694579,4050.579986,4051.1669,4061.148963,4092.783219,4098.722795,4102.037865,4110.652746,4072.397239,
Kiribati,KIR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459,1.505191066,1.515358039,
St. Kitts and Nevis,KNA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
"Korea, Rep.",KOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1130.9525,1160.7675,1131.000833,1100.163333,1165.3575,1180.265833,1143.951667,1291.446667,1305.6625,1363.375,
Kuwait,KWT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.300852025,0.302137441,0.303349758,0.301956494,0.303611163,0.306233122,0.301643111,0.306250154,0.307185351,0.306690649,
